序号	类型	标题	第一作者	来源	日期	链接	来源链接	所有作者	摘要	关键词	DOI	导师
473	期刊	湖南省主汛期5—8月降水过程延伸期智能预报	曾玲玲	大气科学学报	2025-05-28	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibKcvzvPnK45-9CYy6_qPBCPxV4WQorE0ff2CHToi7BnUvfpfUD2uB5tn6aRTMtQPznAkJd_-ZAGLPPgR0Un4kPbz4FJbqh95GwN3TZW3wh9Mz7Ckv4SJd45dfemUrQRlZFSGtxCASrYJPB_6JZe9ZUW88fskB5ziHRXdliANSH4KQ==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yTV1or6BBP0TWladiPk25fD3tNdRf-IpuyzIPBTvsyi9narzbXrYmXIdu1XQXKpzyXKHGPrifJt7i7fATu2vau_3-aHIlTfMeI=&uniplatform=NZKPT	曾玲玲、谭桂容、赵辉、张祎、黄超、费麒铭	延伸期预报(提前10～30 d的天气预报)是目前尚未解决而又亟需解决的预报问题之一。本文利用2005—2022年湖南省97站逐日降水资料以及次季节至季节(subseasonal-to-seasonal, S2S)欧洲中期天气预报中心(ECMWF)和美国国家环境预报中心(NCEP)两种模式预报产品，并分别以2005—2018年和2019—2022年为训练验证和独立预测年。基于模式的降水与环流预报产品，首先采用分级累积概率匹配和低频阈值法，对模式降水预报进行订正；然后通过分析大尺度环流特征与降水场的耦合关系，结合卷积神经网络(convolutional neural network, CNN)技术，分别构建基于ECMWF和NCEP动态预报产品的降水预测模型；最后对多种模型的预测结果进行集成，优化预测结果。试验结果表明，经过订正的两种模式延伸期降水预报的准确性均有显著提升，其中NCEP模式预报技巧的改进大于ECMWF模式。具体而言，订正后的NCEP模式单站降水预报TS评分提升38.5%,区域降水评分提升43.9%;ECMWF模式的TS评分提升14.0%,区域降水评分提升24.2%。独立预测表明，ECMWF模式预报的准确性要优于NCEP模式，特别是15 d预报时效前。CNN模型在15～30 d预报中展现出超越单一数值模式的预测能力，基于动力模式和CNN模型优势的集成预测在整个延伸期预报时效内均展现出较高的预报技巧。	偏差订正;卷积神经网络;延伸期预报;最优集成方法;降水预报;	10.13878/j.cnki.dqkxxb.20250105002	
474	期刊	基于深度学习算法的电力通信故障诊断技术研究	苏辉	科技创新与应用	2025-05-28	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibKcvzvPnK45-9CYy6_qPBCPxV4WQorE0fdgs-kH0USRujI6CeVlRjkNcawbwgWgh6XzL8z20-1HCjUEepQSwS6y4ydRcSE-DgdQG7LO4Q_5g5GMK1krgRmy1Pk6q16NOSA5X-_lNCobbBPZn9dl1fj1QKDHXp5CFDm6e__fts4saA==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yTV1or6BBP0TWladiPk25fD3tNdRf-IpuyzIPBTvsyi9narzbXrYmXIAGiXR0m_sva0TcoCJQ9-adHCguqZHOwq4YA1WcRC5KA=&uniplatform=NZKPT	苏辉、郭庆瑞、王海鹏、蒲媛媛、张巍洁	该文针对目前电力通信故障诊断方法故障定位不及时、准确率低等问题，提出基于深度学习的故障定位算法，利用卷积神经网络（CNN）识别故障，通过特征提取表示故障信息间关联关系，引入模糊诊断方法、故障诊断专家系统、分布式故障定位法，处理多故障间的复杂关系，旨在提高电力通信故障诊断效率。	深度学习算法;电力通信;故障诊断;技术研究;卷积神经网络(CNN);	10.19981/j.CN23-1581/G3.2025.15.041	
475	期刊	基于深度学习的网络安全异常行为检测技术研究	史二颖	电脑编程技巧与维护	2025-05-28	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibIpx_EZZDACEptZ4WxPkFaePIGVJYsuU4DXU6YcQ3L_viTk721Dy3mQe9JzRPrAxsnfDFlcL3C270IWm24hyiq4D9oDHBsB7SHjdCF1PI5D37Zc9jjcy7PbAVTqQmsL6o5mC0gG_wPK3LR5b9fkBYrpl7BivdwKEBYn1k-qqLeiBg==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yTpFKKY9HqJv8qR400t1VtrYxgqMNEsGU6KNi6GG-ddI8XmcvnUAsdTWaKjoUfbKdjk-qiYehGWz2P6ZPISCJTG4IWMpkpr6bQ=&uniplatform=NZKPT	史二颖	伴随互联网技术的迅猛演进，网络安全隐患日益凸显。传统异常行为识别手段在应对多样化网络攻击及未知威胁时，往往面临识别率低和适应性差等挑战。作为人工智能的核心前沿之一，深度学习凭借其出色的特征自提取与模式建构能力，为网络异常检测提供了全新思路。探讨了深度学习技术在网络安全异常行为检测模型中的应用，介绍了异常检测前的数据采集、数据清洗和特征工程等关键步骤，详细分析了自编码器、卷积神经网络（CNN）和长短时记忆网络（LSTM） 3种深度学习模型的原理与实现方法，阐述了其在网络安全异常行为检测中的具体实现流程，助力网络安全维护工作长远发展。	深度学习;网络安全;异常检测;自编码器;卷积神经网络;长短时记忆网络;	10.16184/j.cnki.comprg.2025.05.036	
476	期刊	基于深度学习的智能车牌识别系统的设计	韩晓阳	黑龙江科学	2025-05-28	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibIpx_EZZDACEptZ4WxPkFaePIGVJYsuU4BPJUuOrsJF8Hu6_76Md4B1Rl6V45jcIwfxB1mx64eR7KFlFw-NBvdy8-76s-qMqxVevPC0IhqHZEaVGWDn2-n9tyX1fYt9IWjZx82tf5MMHZ1cFDGyvG7qLjXyay77pAHYp5fZSq3X4A==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yTpFKKY9HqJv8qR400t1VtrYxgqMNEsGU6KNi6GG-ddI8XmcvnUAsdTcNTO1Pz0RdfPDcfrur7ZSE00jRbCaenr8uOhjChM8bM=&uniplatform=NZKPT	韩晓阳、崔贝贝、胡可心、闫晶晶	设计了一种基于卷积神经网络的车牌识别系统算法。该系统由图像预处理、车牌定位与切割、字符分割和字符识别等部分组成，通过运用漫水填充、仿射变换等技术实现较高的准确度和稳定的可靠性。整个算法搭建在Python环境中，使用OpenCV、TensorFlow、Tkinter等工具实现。该算法的核心是使用卷积神经网络进行车牌识别，通过训练卷积神经网络可以自动识别车牌上的字符，实现自动化管理的目标。还可以通过实时监控和数据分析，对交通指数、车辆流速、交通事故等进行监测和预警，从而进一步提高交通管理效率。研究结果表明，该系统具有广阔的应用前景和巨大的潜力，可有效提高交通管理效率，减少交通压力，实现智能交通的目标。	人工智能;卷积神经网络;图像处理;车牌识别;		
477	期刊	基于深度学习的影像技术在螺钉识别定位中的应用	刘畅	影像技术	2025-05-28	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibIpx_EZZDACEptZ4WxPkFaePIGVJYsuU4DBKP2bt5YdohDx6ZyXraKkMlWFSjPr1nb28GR7Jk5DyOHyCBi7aW269-0-wM9d1q-_t5iMWxHNO6kZstY6p-f4ym0s6F0p1rE8eAz4pix_JqBjEKlssMFLYO0ZIbStd7jpi0jVRGMZng==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yTpFKKY9HqJv8qR400t1VtrYxgqMNEsGU6KNi6GG-ddI8XmcvnUAsdThhVOvh2d_N0gAKtMirgnPovziORfOIDv4MMHkNJwQ18=&uniplatform=NZKPT	刘畅、严小军、关瑶、王静	为了提升仪表装配过程中螺钉自动预紧的精度和自动化程度，本文提出了一种基于U-Net的螺钉识别定位方法。根据一字螺钉自身形状特点，通过识别螺钉一字槽的中心与旋转角度，完成螺钉的自动预紧任务。利用集成了视觉采集系统的螺钉自动拧紧装置，采集约300幅不同姿态下的螺钉图像，并用LabelImg工具进行手工标注，与FCN-VGG、FCN-ResNet算法进行对比实验，并分析训练集容量大小对U-Net模型识别效果的影响。结果表明：U-Net模型在验证集上像素分类准确率达到99.7%，平均交并比达到94.1%。在实验测试阶段，通过模型推理，对螺钉进行定位。根据实验数据得出该方法的检测精度可以达到2.1微米，满足工业检测的精度要求。	全卷积神经网络;螺钉识别定位;语义分割;自动化;		
478	期刊	基于深度学习和注意力机制的漏钢预报研究	吴恒	冶金能源	2025-05-28	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibKG5-BEUmUotkYs8yZIEj_rXEvL0VGWP8DXmnqSRWFs2v_hqlXq9KtY4bf1GtGd_4_ObjQeEWJPIaCTvIcmCxb-NBFNS49RQKvAJcvimDjebqPBy8JfB1hnSUbvfdnNkm3hDhlJQAS5ifdMo0f_UHdMZGPxnPMfi6KSdrVVvgxtUA==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yQTm6md1SxG7EdCODBjPsK0x4keI-4tW6vgi_-n2N8QcrNtAVRxh82b_N2QuBEZ_YQY8oXh5kqccRERA6ZNiezE1nKVs9BX1I4=&uniplatform=NZKPT	吴恒、张本国、余浩辰、张瑞忠、范利锋	为提高漏钢预报系统准确度，分析了热电偶的单偶时间序列特征与组偶空间联动特征，采用CNN对数据进行特征提取，再将时间序列温度特征作为BIGRU输入，构建CNN-BIGRU网络，并在输出端前引入MA机制。针对CNN-BIGRU网络易陷入局部最优解问题，利用BO算法寻找CNN-BIGRU网络最优超参数组合，建立了BO-CNN-BIGRU-MA网络模型，并将其应用到连铸漏钢预报系统。结合实际连铸生产数据，对该漏钢预报模型进行测试。结果表明，该连铸漏钢预报系统的准确率为99.5%,报出率达到100%。	漏钢预报;卷积神经网络;双向门控循环单元网络;贝叶斯优化;多头自注意力机制;		
479	期刊	基于流场可视化的特征智能识别方法研究	陆韵祺	科技创新与应用	2025-05-28	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibKG5-BEUmUotkYs8yZIEj_rXEvL0VGWP8CNJ-rybncrLLlYPuQCVeZF2Vu99SKlPiUYPO4rgLbEC2JGkIL0Ycy1Qm7hU-PWG8fP5iDZfSZNb4cwNtkM8sB1-7cmjoR-g3wZNUk9DQDAqZIFI5ZQFX1aoeqrzXWz-5k7bMByZ49dRg==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yQTm6md1SxG7EdCODBjPsK0x4keI-4tW6vgi_-n2N8QcrNtAVRxh82b2C1eCgiz_wzIEcLcTC-tWEbvmHGmZKVU-_AczMqqqCw=&uniplatform=NZKPT	陆韵祺	随着计算流体动力学和可视化技术的快速发展，流场可视化已成为科研与工程领域的重要工具。然而，传统流场特征识别方法存在效率低、精度不足等问题。经过对国内外研究现状的分析，该文主要研究一种基于深度学习的流场可视化特征智能识别方法，旨在提高特征识别的精度与效率。通过构建优化的深度学习模型，该方法能够自动学习流场数据的深层特征，实现特征的精准识别。实验结果表明，该方法在流场可视化数据集上表现出较高的识别精度和稳定性，显著优于传统方法。该文方法不仅可提高流场特征识别的效率和精度，还为相关领域的研究提供新的思路和技术支持。	流场可视化;特征智能识别;深度学习;流体力学;卷积神经网络;	10.19981/j.CN23-1581/G3.2025.15.018	
480	期刊	基于BERT的多模型融合的文本相似度匹配方法研究	周璇	电脑编程技巧与维护	2025-05-28	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibL6nxTVqiZ4fR5cxy46mgt4ghmLk8Jqva-MsNQQFYKjb-MfLNi1gtbQtMF3aQczk6drDT9j5YRBHJkLrZRanlTjhNNEdmhsWHxgmfO5yW_eO2_GVdCcGNSZr61SxjlkYSdBs1g8G7hv-X54dA3y91m-4pX5OAoCK6VDrkJKNZRCTQ==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yQyY7hjtNSQvb6S2-XGZXam5RkCbi6m4TqP43uPZsm7gao9cXQqMDbHZHMoMEMy9P-_3Oc5xxZpTLjTUZNSr4Dg4Tckdc0EfCo=&uniplatform=NZKPT	周璇、赵鸣、刘波涛	文本相似度匹配是众多自然语言处理（NLP）任务的基础提出了一种多模型融合的策略，结合了双向变换器模型（BERT）、BiGru、TextCnn和自注意力机制的优势。首先，通过BERT获取文本的上下文表示，利用BiGru捕捉序列依赖。然后，经卷积层提取局部特征并池化得到固定长度特征，通过自注意力机制加权处理卷积特征，形成更具代表性的特征向量。最后，通过全连接层进行分类。实验结果显示，该融合模型在多个评价指标上均优于其他方法。	自然语言处理;卷积神经网络;注意力机制;双向变换器模型;	10.16184/j.cnki.comprg.2025.05.015	
481	期刊	使用卷积神经网络方法识别SDSS DR7Q中的FeLoBAL类星体	何子麒	天文学报	2025-05-27	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibL6nxTVqiZ4fR5cxy46mgt4ghmLk8Jqva9zlMHAS4GuxUv8pY3Z9RbNnFMljUfzMOQHEWwU4yTEPlYUpzGmX6qiypABJjffKuQUiw1BBHU7zUA9IAfINYSjdTuUGBlnZ6CZ10ZJSY3W3opXVT_lcCbh77jz-g-tULhFvJ-LUOOWjg==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yQyY7hjtNSQvb6S2-XGZXam5RkCbi6m4TqP43uPZsm7gao9cXQqMDbHeIiQdXOy8ERJtk5IkbSNnty2BnUS2S_cRAQ6--qCjrw=&uniplatform=NZKPT	何子麒、傅煜铭、吴学兵、何凌雪	铁低电离宽吸收线类星体(Fe Low-ionization Board Absorption Line Quasar, FeLoBALQ)是数量最稀少的类星体子类之一.该类型类星体的辐射将周围的物质猛烈吹开,形成强劲高速的外流,其中以铁为代表的低电离物质,吸收类星体的辐射,产生特征的低电离度铁元素宽线吸收谱. FeLoBALQ外流物质携带的能量之高,足以解释超大质量黑洞质量M与宿主星系核球速度弥散度σ*的M-σ*关系,同时有研究表明FeLoBALQ可能与星暴星系或星系主并合存在伴生关系.然而,迄今为止搜寻到的FeLoBALQ数量有限,难以从统计上验证上述理论.此研究计划在已有类星体大样本中开展大规模的搜寻工作,挖掘已发现类星体中的FeLoBALQ,为FeLoBALQ的进一步研究提供样本基础.使用深度学习中的卷积神经网络(Convolutional Neural Network, CNN)方法,将以往发现的FeLoBALQ光谱作为训练样本,对SDSS (Sloan Digital Sky Survey) DR7Q (Data Release 7 Quasar catalog)中、红移范围为0.8 <z <2.125的共50931条类星体光谱进行鉴别,新搜寻到了160条FeLoBALQ光谱.研究发现FeLoBALQ的颜色比一般类星体更红,且以往发现的FeLoBALQ比新发现的稍微偏红;这些差异在蓝端更明显,在中红外波段差异则几乎消失.结合以往研究发现的FeLoBALQ,估计FeLoBALQ在该样本的该红移段内,占类星体总数的比例约为0.43%,此比例略高于以往研究,且可能依然偏小.今后希望将此方法扩展至更大样本如SDSS DR16Q (Data Release 16 Quasar catalog)以发现更多的FeLoBALQ,并使用大样本研究FeLoBALQ与宿主星系恒星形成、星系主并合的关系以及星系与中心超大质量黑洞的协同演化等问题.	星系:活动;类星体:吸收线;方法:深度学习;星表;	10.15940/j.cnki.0001-5245.2025.03.011	
482	期刊	基于卷积与注意力增强的股票价格预测方法	罗云芳	云南民族大学学报(自然科学版)	2025-05-27	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibL6nxTVqiZ4fR5cxy46mgt47YfX7nGFdWzkQHrNWnNYqVHHA_sTQPClVJWV5jssGsaB-LTCayQ_hb6N_C4WOAvz6tgJnS-fD40Jh5v7SRwQ_qirryXkxQtIqwyVTGQQMGWFOB6LRdTsuCVVczZc29_cvom1GhsFm7_dt0-KWtXH1w==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yQyY7hjtNSQvb6S2-XGZXamWIDrD5BX2m97WENLvucZ9tXCbc8JiD_fDpsnTJ5mrg8I663vvluaVJYGQj-stUpcXOqHHFcfqa4=&uniplatform=NZKPT	罗云芳、张广莹	股票价格预测对投资决策、风险管理和市场监管具有重要意义。然而，股票市场受宏观经济、政策变动及投资者行为等因素影响，呈现高度非线性和动态复杂性，传统预测模型难以有效应对。近年来，以长短期记忆网络（LSTM）为代表的深度学习方法在时序预测中取得进展，但在捕捉复杂特征关系和空间动态方面存在不足。为此，本文提出一种融合卷积神经网络与空间-通道注意力机制的时空通道长短期记忆网络（TSC-LSTM）模型，通过卷积特征提取、残差通道注意力及多尺度空间注意力模块，提高模型对股票价格局部与全局特征的表达能力。基于平安银行、贵州茅台及上证指数的实验研究表明，在MAE、MSE和RMSE指标上，TSC-LSTM模型取得了更小的误差，具备更高的预测精度与泛化性能。	股价预测;深度学习;LSTM;卷积神经网络;注意力机制;		
483	期刊	基于CNN的FSO最大比值组合模式分集发射技术	方志平	光通信技术	2025-05-27	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibIN_cD9T73mbT_67U4sOYk0aHMYHVNXwXtNez9mZc0sBhcqXk8gY1o6wYw0WmZ1rs9y6L5eezmWzPHyRzjLBlgF6MxSmdwr5NiKeF2Gtbqh3UtoH9HbxT9bL2EjKMP5FnjM9-6aoszQDYieNEw1UG9_PvBbvf4IiEBzjQiRJ_00OA==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yQFiBsGzwQMNea6xKqhB1aWM_5mC_aWKaEiqvmjVPosyn0AbTYN_XAFjlMtQtZX8FXW93rkDuqh2PElB8lJModjr4fdzJdNd1E=&uniplatform=NZKPT	方志平、何易非、杨冬、谢远举、周光波、青廉	为有效解决自由空间光通信（FSO）系统中大气湍流效应造成的信道串扰问题，本文提出了一种基于卷积神经网络（CNN）的最大比值组合模式分集发射（MRC-MDT）技术。首先，利用CNN对不同湍流条件下接收光束进行轨道角动量（OAM）模式功率的测量，并基于所测得的功率分布优化MDT方案发射信号的处理。进一步地，本文系统地研究了三种FSO模式分集发射方案：选择性组合（SC）、等增益组合（EGC）和最大比值组合（MRC）。数值仿真结果表明，在强湍流条件下，SC-MDT方案使FSO系统的平均接收功率提高4 dB，而MRC-MDT方案使FSO系统平均接收功率提升5 dB。	模式分集;轨道角动量;卷积神经网络;大气湍流;自由空间光通信;		
484	期刊	基于多信号融合和CNN的模锻压力机液压泵异常检测方法	袁超	锻压技术	2025-05-27	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibJcg2BdlY7TIUGX133S1Mbtx51FPz3-y6wNMasl53Vutq44_9qsHI6pFCmZ9u75_PM-Vvl5M8fJ72WKbkb-ufWL0vuFtJHOz5QVVEJjbmOjauk4g4jwt2nS2PumBV8bIAxsu5_AxY2uymqpjk-sjaz0Ff8PGEIJz9Mx2dnwY71hWg==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yQFiBsGzwQMNea6xKqhB1aWICk7u8kUjPpQVXs_WqDMvvMZqnC1DAVplHfMzHdCn0mOc50ooajCOCu5cdtfw2aImoiqzrA77wI=&uniplatform=NZKPT	袁超、刘子雯、王楼锋、王志伟、李志成、杨博、于振军、鲍宏伟、张田民、凌云汉、石一磬、张浩	针对大型模锻压力机液压泵异常特征的分散性和模糊性，提出基于多信号融合和卷积神经网络的异常监测方法。首先，提出一种多信号融合的数据处理方法，通过计算各通道时序数据的自相关系数(ACF),将不同类型传感器的时序信号转换为多通道特征图，有效联合了各故障间的特征。然后，根据特征图，构建并改进卷积神经网络学习设备的健康状态，用于预测未来关键指标参数的相关性。最后，利用快速傅里叶变换(FFT)计算异常分数，并提出一种自适应的误差测量方法，实现对液压泵异常数据的检测。实验分析结果表明，所提出的方法可以有效实现大型模锻压力机液压泵异常监测。	异常检测;压力机;液压泵;多信号融合;卷积神经网络;	10.13330/j.issn.1000-3940.2025.05.027	
485	期刊	基于卷积神经网络的车辆碰撞声识别方法	孟家醇	应用声学	2025-05-27	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibJcg2BdlY7TIUGX133S1MbtY32nlHCYeEq-yn_yM9_Mz6kVhHgV2vA97ptkz5yr03QKT901-j6LBJdH8g2QAQvAZWRyCiVUG_CV6U67S9216LwXfADbgh92r7Gk3_7ylaGQqs3i8wfSGP3swTdqECRugvx5wPhquEsAVRtEeGKUmw==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yQ2AzcMhhdBgOk4R3IznXFaTumhoN8f3kOcs1XHPor_PSpM6A39LL3qU8h_cJEMSZ5gH3wNwDJzSYcwBPkfrEBKN2fObG8NpAg=&uniplatform=NZKPT	孟家醇、方靖、周子奇、杨晓蕾、郭子慧	为实现车辆碰撞事故的及时、准确检测，该文采用深度学习算法，建立一种基于车内声信号检测的碰撞事故识别模型。首先，结合来自YouTube、UrbanSound8K和CMU ARCTIC数据集的多种数据来源，建立了一个包含碰撞声、急刹车声、车厢背景声和鸣笛声在内的4类车辆声音的车内声信号数据集；其次，针对车内复杂环境对声信号的影响，通过频谱阈值法生成噪声阈值以降低噪声干扰；然后，提取车内声信号的log-Mel特征作为网络模型的输入；最后，引入残差连接的瓶颈模块使模型能够聚焦于声信号的细粒度变化，从而构建卷积神经网络模型。模型在所构建的数据集上取得了94.5%的平均准确率，并与其他深度学习模型的进行实验对比，结果表明所提出的模型在车内环境中具有良好的声信号检测能力，并且参数量少、计算复杂度低，能够有效识别事故发生，具有辅助管理部门车辆遇险应急响应和处理的实用价值，为交通事故的自动检测和识别提出了一种新的思路。	声识别;车辆碰撞;卷积神经网络;log-Mel特征;		
486	期刊	基于改进对抗擦除的食品图像识别方法	李艳灵	信阳师范学院学报(自然科学版)	2025-05-26	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibJEzG4YNOZA9ktVggQWVy3qtUHwYHI9OmFO0xYhUGZCp8skFcDTR3QTnbbyV9wiRHBqoMsQo4WVim0ochSOYHIwIwJQlbU1zFvHusgORdTnCQy4EZKJYDTERcpnTXiMEUZ0IjDyTwhfL-5JfrSUuMULLda8An1COuMQDAxzN9U0UQ==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yTf_rnLjYIolMOLqNOmrwiEplCWQ3iQWdkgJ68zmlxlU7OSfqC8iIb30aZHW_KbQuc0OTnLXDMjItAhSXSQPtAWyknZsWADfuI=&uniplatform=NZKPT	李艳灵、梁庆琪、李佳漫、赵添宇、杨志鹏	提出一种基于改进对抗擦除技术的食品识别方法，渐进式得到判别性区域。该方法通过大津法和形态学操作获得判别性区域，降低噪声干扰。为验证所提食品识别方法的有效性，在Sushi-50、ETH Food-101和Vireo-172数据集上与其他文献的方法进行对比实验。实验结果表明，所提方法更有效地排除食品图像复杂背景的干扰，提高食品识别性能。在ETH Food-101数据集上，相较于ResNet-50，该方法在Top-1和Top-5准确率上分别提升2.6和0.8个百分点。	卷积神经网络;复杂背景;对抗擦除;大津法;		
487	期刊	基于MWCNT-Ecoflex复合薄膜的柔性皮肤电极在手势识别中的应用	张宇航	复合材料学报	2025-05-26	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibJEzG4YNOZA9ktVggQWVy3qtUHwYHI9OmEhc3RZLxE5ycZyDqDjLdao_6c5rwUkWmZx2qscggJAtntKJULo9ZugyXBXL1pP2wxxvJ82f-OSHiU4woA3_lNxYILIZXT9SwOuxkQi8YOrWBSXm3cw_QKW6BA69xWZJwvV_jjxsVXtxg==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yTf_rnLjYIolMOLqNOmrwiEplCWQ3iQWdkgJ68zmlxlU7OSfqC8iIb36_e21TfqR73ZHMPDUnvS7ACKaYCt0f_PA1yJuOE77x4=&uniplatform=NZKPT	张宇航、郑钰博、孟雪娟、李晓春	手势不仅是一种高效的人机交互信息源，对于听说障碍患者更是一种有效的语言沟通方式。传统手势识别基于非接触式图片或视频信息，存在光线干扰、多维信号分析繁琐引起准确率及时效性低等问题。通过柔性皮肤电极来捕获手势引起的肌电信号，是突破上述局限性的一种有效方法。本研究提出了一种导电聚合物柔性皮肤电极，该电极由多壁碳纳米管（Multi-Walled Carbon Nanotube，MWCNT）和Ecoflex聚合物混合制得，当MWCNT在Ecoflex中的掺杂量达到8 wt%时，在50%的拉伸应变下，复合薄膜的相对电阻变化仅为42%；且在10000次拉伸-释放循环测试中表现出高稳定性。在表面肌电信号（surface Electromyography，sEMG）测量中，该皮肤电极表现出了低于传统商用Ag/AgCl电极的噪声，且可多次重复使用。将该皮肤电极贴附在手臂的桡侧腕屈肌表面，捕获手势引起的sEMG信号，结合卷积神经网络算法对6种手势信号进行训练和测试，平均准确率高达98.5%。该研究为听说功能障碍患者提供了一种更加自然便携的交流手段，并为人机交互、医疗康复等领域提供了重要工具和技术支持。	手势识别;柔性皮肤电极;多壁碳纳米管;Ecoflex;表面肌电信号;卷积神经网络;	10.13801/j.cnki.fhclxb.20250526.001	
488	期刊	基于多模态融合的无人机识别研究综述	李旻姝	计算机工程与应用	2025-05-26	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibJEzG4YNOZA9ktVggQWVy3qtUHwYHI9OmEPdJ4vQx_g7BhvDdwH0lLbL9E6Gpm5loeMrvPnQomqb9DKOXgixIUxbDS7GevYSu2OAwAi4CuX6K7BJB4CJp0NTQE7xcqOxOCE1BCP2_hCimN-XUoe8Wit91yMvhUeDSrhbwdVirfFuA==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yTf_rnLjYIolMOLqNOmrwiEplCWQ3iQWdkgJ68zmlxlU7OSfqC8iIb3-cNjYbwiCHfBqaRn465ibwc3sdkImJydo19hL34yOs8=&uniplatform=NZKPT	李旻姝、周莫涵、支瑞聪	随着无人机技术的迅速发展，在相关技术应用越来越多的同时也带来了许多安全隐患和监管难题。反无人机检测技术作为应对这些挑战的重要手段，受到了广泛的关注。传统的无人机检测方法依赖于单一的模态数据，例如视觉、音频、雷达及射频信号等，但这些单一模态数据在复杂场景下所获取的信息有限。近年来，深度学习方法在小目标检测领域取得良好进展，同时多模态融合技术的相关研究也使目标检测的精度和鲁棒性得到进一步的提升。这篇文章报告了无人机检测领域的研究进展，重点梳理了多模态融合技术的研究现状。此外，还整理了相关无人机检测的评价指标和公开数据集，并分析了现有技术的局限性，为未来提升检测精度与鲁棒性提供研究方向。	多模态;无人机;小目标检测;		
489	期刊	基于卷积神经网络的安防监控软件目标检测策略改进	常张薇	软件	2025-05-26	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibLS7BNSW51uNnfDSNoSNbZYZ7BRhmJF8wtlm1BVcBLfiB3wv6HPbvLH3OtMIA4tKJTqdraX56FHaopfQaM0A4yjwIinV29nqrRWzAY33yVFmpLzfl8xsIiIrPxqWJVnuYLhRQCAGBTefW-iXXIDsEM2DEVRcpwOb-j2stB7sOfO3Q==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yQRfYNAphh0UUwDiMSZKOoHNWXpkZyU2KouCbTHjbisUX0gQfxkud1Tl3649cvwqPdcwK5BoBeJ_L8dFjirbRX-UmsP95sf3ng=&uniplatform=NZKPT	常张薇	随着安防监控需求的不断增长,基于卷积神经网络的目标检测技术在安防监控软件中得到了广泛应用。基于此,本文研究如何改进安防监控软件中的目标检测策略,通过对相关工作进行分析,提出了一系列创新的方法。实验结果表明,改进后的目标检测策略在准确率、召回率等指标上有显著提升,有效增强了安防监控软件的性能。	卷积神经网络;安防监控;目标检测;		
