序号	类型	标题	第一作者	来源	日期	链接	来源链接	所有作者	摘要	关键词	DOI	导师
185	2024中国水利学术大会论文集（第七分册）	完善长江流域水生态标准体系  推动水利新质生产力发展	赵媛		2024-11-16	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliX_gVFv6PV8NSafb1ETRWTeyY2h9EFTaM8tfhGtJcNKpPSR1hZbZq_JAQTf8W9YCkNrjX3QwExGwtlQsOARbX6XeAgnBM-4D0w0HDuH2xFuhYnDWL4ttpbQUNF5BtTEkm5o2BtjlJPhEr41OfFS5k04cn2160HoYKVw6vzQnXrMJmhC8Hu7qA-v&uniplatform=NZKPT&language=CHS		赵媛、王春芳、汪红军、郑迪、周连凤				
186	中国会议	贵州省水库浮游生物调查与鱼产力评价	杨伟杰	2024中国水利学术大会论文集（第四分册）	2024-11-16	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliWO1P7e-nO8sprfLMVY-9I3Jfs7uWbGSv4KiO5tnwWLBaOF11dxKWOQQGALe3WmMW1Zs57TAuv3DRGoBdbztp1cjFLsu9KhbT306YakezapnX7pZCssOTQUvRzizdzPRGhv8hW8baoSqKmH2FBl7YSnImjKDygev6LElg4RI-hnPDnTDfVP5eqK&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehZrKLVPo-_8Gi2lMpn6LeEvtVeg75_ayw8U4PgtUhN8W98K9eF18pS71haKP6pM01yXbxa50dAyuouSuGIVCuGil9uedFvdA7-5G5fqjG0dlg==&uniplatform=NZKPT	杨伟杰、曹俊启、杨晴、邹曦、史方、胡莲、郑志伟				
187	中国会议	梯级电站开发对水生态环境的影响分析	李胜华	2024中国水利学术大会论文集（第四分册）	2024-11-16	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliWO1P7e-nO8sprfLMVY-9I3Jfs7uWbGSv4KiO5tnwWLBaOF11dxKWOQlnHlGGrhrWH6DzxN0xkcr4IpN-z1clxtkn0jnGeawIEi_CX_0wgsDsgnFdFw4XE0tMEJr8K0Onrz-403CRAf-EKmp2btqrQfQEe0Db_aZyFW1kfTgsSb94Z-ab_AP52r&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehZrKLVPo-_8Gi2lMpn6LeEvtVeg75_ayw8U4PgtUhN8W98K9eF18pS71haKP6pM01yXbxa50dAyuouSuGIVCuGil9uedFvdA7-5G5fqjG0dlg==&uniplatform=NZKPT	李胜华、郭星星、刘古月、林萍、王珂				
188	中国会议	黄河上游系统治理工程对水生生态影响预测评价	徐宗超	2024中国水利学术大会论文集（第四分册）	2024-11-16	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliX7Ag9ZpJzTaG5nV3Msu425g4PcwSQ5aLrSOb-rwY9EgnBaYSHPZ-Mj9-va-eLWuyVRxtXi4_bo-7TuQ8kx6SqqZ02tSe5yYyStE4nyIHTddEvEncc0KfdG75DK3taAxjW31HJgfRw7MPJSUUYq6RxvbZ_eWtJtBEzm1-uxu5VocypklzYTc24j&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehZlS_4Cg9ng9nHFWmlP3SgcO9UFVqTd5ZSzh0Ow_n_OBMYftAv2jlOA1-NA9EgpJGlqkdIFqZhwrdq0zwAfNIozGy4bR5L5wPA4hF_9Cyoqmg==&uniplatform=NZKPT	徐宗超				
189	中国会议	清江干流恩施段水电开发对浮游生物的影响研究	潘婷婷	2024中国水利学术大会论文集（第四分册）	2024-11-16	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliX7Ag9ZpJzTaG5nV3Msu425g4PcwSQ5aLrSOb-rwY9EgnBaYSHPZ-MjrBFFs8-9gz4SQmTCtGU-anppiuH1oL9BBTs2evSrup9PAn4LHO132zSnuenwO10JU7r8VSv6ySDIaMoWMoRClpKL3Y9vUC-vVuITTbjCSyupGT0l-ecVV33dYru51XFO&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehZlS_4Cg9ng9nHFWmlP3SgcO9UFVqTd5ZSzh0Ow_n_OBMYftAv2jlOA1-NA9EgpJGlqkdIFqZhwrdq0zwAfNIozGy4bR5L5wPA4hF_9Cyoqmg==&uniplatform=NZKPT	潘婷婷、景朝霞				
190	中国会议	里下河地区湖泊生态状况评估体系探讨——以大纵湖为例	滕祥帅	2024中国水利学术大会论文集（第四分册）	2024-11-16	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliWir80BLwTZ-Kx4DnjdxzmigcHtzc2QuAdK09NAUS8UDdgpXEVUKRw2bzHQ52RFQXEaO-U_mEygHNSACUZeFoJbfzOzuxqjm3RaZjXeaNFXIqrAaN_VBlxRB7PCRooQGCAwt06ixFwzPNkY2qu34YBEqnONbBJFIPDL1fgFMSo83rV8Yw6D_Mhl&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehaliO7_J2UjidnOOLz6aJp7O2u9JtXv31AKWIMgzkdiO9wO_QqIWtWsWIfhs6VsI7FPwWCR8TPgRcR36ORdKMCxouCCwGqIReftl2jw4MaCrw==&uniplatform=NZKPT	滕祥帅、张明明、刘耿炜、曹晶、孙一玮、华勇				
191	中国会议	孤山库区浮游植物现状及水华风险分析	赵肥西	2024中国水利学术大会论文集（第四分册）	2024-11-16	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliWir80BLwTZ-Kx4DnjdxzmigcHtzc2QuAdK09NAUS8UDdgpXEVUKRw26H1QHhjDzqsZSqD4vwMApzvQjq7y9vTqLqhGsnIin9rjos4gnUDf0eCuwQ143KUwOq_LDOJ-bDYsAfAtSrE0PKZ4YBVGug3RUV5YXHu6NEYMcIxsLlZJndOQwxEUJrMd&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehaliO7_J2UjidnOOLz6aJp7O2u9JtXv31AKWIMgzkdiO9wO_QqIWtWsWIfhs6VsI7FPwWCR8TPgRcR36ORdKMCxouCCwGqIReftl2jw4MaCrw==&uniplatform=NZKPT	赵肥西、李建、辛小康、贾海燕				
192	中国会议	茂名市近岸海域浮游植物优势种的生态位特征及种间联结性研究	李青峰	2024中国水利学术大会论文集（第四分册）	2024-11-16	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliV-J_v-vOfxWN8CdwbwEsaYbIdtIkeeFioc7q6t9Mo_sBEV3k8IZahBCRuKk6zjsUSFH-I6OJmboGdiIrbed9DU0fCUozpcQmblkzzDTVSfjZhrRtJ9mDGGTwo5B_AaxxaSKVEbVjxdNlroDR8VgqfJbLKT2tYysIkE0zwDH9-pm9zyARD7JCB8&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehZI00M9Dr-cNXJ6eZcLKIDLJAM1BqvjGplLGi7lexuMDpFp9tLaVjLzrFAcQlJJHeZWvE1J4g_hUHKnBabUEcHdELqE4O-gJdUjbNWfhBEljg==&uniplatform=NZKPT	李青峰、翁新华、张学林、何瑞				
193	中国会议	西江干流浮游植物群落结构特征及环境因子分析	熊芳园	2024中国水利学术大会论文集（第四分册）	2024-11-16	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliV-J_v-vOfxWN8CdwbwEsaYbIdtIkeeFioc7q6t9Mo_sBEV3k8IZahBbIJJ_QFHS3VNBJuP2QZ8geont2ENz1DCfYAc-fp3gXe5R9ViBGUsdAbf-EBK-0cgcuyn_-RcC2G-wasvTKsZUEFbXl4TBZZGa7dUyvyhJ9rul6x8R7PMfaFSelCAjCvb&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehZI00M9Dr-cNXJ6eZcLKIDLJAM1BqvjGplLGi7lexuMDpFp9tLaVjLzrFAcQlJJHeZWvE1J4g_hUHKnBabUEcHdELqE4O-gJdUjbNWfhBEljg==&uniplatform=NZKPT	熊芳园、柳志会、李淼、王丽、韩耀全				
194	中国会议	汉江中下游春季和夏季浮游植物演变特征及驱动机制对比	查悉妮	2024中国水利学术大会论文集（第四分册）	2024-11-16	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliU7pf6IEFMgN1IkWMv9JvSC-IdjTmlp5rNPvtNBqWqpyFTQ_HkhroSfQQDo56hAsIS0pw0Qqqh4aCznJkF-30m3GDb_j6M1PTFvEb0nGJsNJf_1ljyNcLw1T_JvBtEhd5xMb16QvU7vslYTQUbYWpVNGKIn-j5GlmX-UjVSsqoHFUec-ArRxizl&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehZQms4kcVbfgNnW4tHD0jtjqeeFUn4rE1T8VvceugmOQKFxkat4TO-WDWrUyoL7iTB0B6pYmPhAdbAC1SoA9ZDZ0sBRcu4SgOG210Cx88EFLA==&uniplatform=NZKPT	查悉妮、辛小康、赵肥西、廖沛涵、万安				
195	期刊	侏罗纪全球古海洋演变历程及其对西藏羌塘盆地油气勘探的启示	伊海生	地球学报	2024-11-15 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliU7pf6IEFMgN1IkWMv9JvSCSe3yyKuLtcgAmkos4rImdjkpKEsTKbWdh6ip6N64TwiVcfupf7WHPTcEUPXOR9SZrB64kYc6Ofc9r0bJwWh7edcVn8DJ6ieJdnPSDl2o1wPf6ShxQUDrBrXGJj3B1ktYS0k13l-RbOatjD8j2QyB8g==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehZQms4kcVbfgNnW4tHD0jtjwmGCxkYZkOgpZmzVZs47RaL9d45y8tpSVj8TSwWnU7DD6OWUaEOLsySIfLovoDQCsiuPEC09y8U=&uniplatform=NZKPT	伊海生				
196	期刊	全球洋区浮游植物水华物候学特征时空变化的遥感分析	王俊涛	海洋学报	2024-11-15	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliWvdZVDnJPRhKbyxiJxmDCJso-yfQc1vHrx8aXc8jj4RFn8nY_aLROoJ_OeNUG2tm7sUK8A7hseETK_hSl-F6wJrsrt0EUILf8usgyBvXZZTFEYIHiVQYVzu5kDijEvr3CtQ3hFPBrNJG5hdsJtau_LKlalI_bGKnL_dSF8RTyAAA==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehY47gTwCeHb3dAefmIjMBnCIfSTc4LM1XNod5gd2pkKQSaeAVQQO3KCzhGVkSZOkWbOMXF74HbwTNtgVK_CtOS-HVp-3kjP590=&uniplatform=NZKPT	王俊涛、孙德勇、王胜强、张海龙、袁逸博、何宜军				
197	期刊	枸杞岛贻贝养殖区夏季浮游植物粒径结构及分布特征分析	田晓飞	浙江海洋大学学报(自然科学版)	2024-11-15	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliWvdZVDnJPRhKbyxiJxmDCJso-yfQc1vHrycZU0jWmATMK-cXsW0Bco2XI9eWkyZQ9uRRChAv2ZPzdUR8Bre_vAUYZ-nqVQ0bu9KBCTPYVu1RQEnaqd3OogruPw7AoajY1xoupFub4EV7Na5_APoHqif06miTgFR80bZJMWv8Rbow==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehY47gTwCeHb3dAefmIjMBnCIfSTc4LM1XNod5gd2pkKQSaeAVQQO3KCHcwbihBmZrfaB3uh9Z1aGLGmJlZVJ3MjqgUWGhyyNDA=&uniplatform=NZKPT	田晓飞、李昱成、叶宇峰、刁丽丽、王一航、杨晓龙、张秀梅				
198	期刊	基于生态通道模型的铁港春秋季生态系统对比研究	李天翔	海洋渔业	2024-11-15	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliVp7tsQlWdxayu75y2H0suNwfUtVImsqcArNTzWUa31XiLOH61VaRf5yJfV6TyiI35DdsmAIw1ch_Wc2GUxJXIzN4XnQcioRR1MEaHGsXJd-5sEXzh59-V59EcmlxyVX2P-09oB0oC57KsrGwXMkwLzqLb1Yj4tLsaE9dIOPAMVow==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehYS91E39a5IO8Et7cu_f_w7e7t9Z_dmkXLcGXB2XOT-reDd7mFz_4GavYcNEUN3SIcLqeNRX5N2fL1g1VgM1d1mkx-FvxLuDfQ=&uniplatform=NZKPT	李天翔、罗民波、王云龙、蒋玫				
199	期刊	完善监测评价体系  保护水生物多样性		北京观察	2024-11-15	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliVp7tsQlWdxayu75y2H0suNwfUtVImsqcDLr3Ygc0hEYCX7hokzlA_6G8UyKgJ8P4bQIH5rZHUNRV32kNEb25CAcIUQiQ-E7-CTiH0im855oZCgfy_bmuAYvQWmtnwWBBBtwJaRb08X2bWLSALXoDAIfMPCIg11F3WAASUSSqNhpA==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehYS91E39a5IO8Et7cu_f_w7e7t9Z_dmkXLcGXB2XOT-reDd7mFz_4Gaa2EqjgGDSFap6plkLU-uCbebjlGeNwA5B-DLPmlgBSE=&uniplatform=NZKPT					
200	期刊	MABR膜对比微生态制剂对河蟹池塘水质及其营养品质的影响	周翰林	中国农学通报	2024-11-15	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliUCIESOEdKWgpjG0HaTU9RvnZsfgWizUAUXLFlCSqrzewcX0kj0U2QOCzgICaKN1xbi5gHhfenEro1b1PbXCr4-zOqUKSMLTl2SpRxuljqlHrkRFi7pmi7Aglu7cltxqFg33q95TtxoXnWnWUlQ21QbGfCVrUNOUuBiEfkToaCLyA==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehYh-8Fh2-gJFrmeyTPVaZJIqCx4YOhZXwOHLeGNEj36uJshT3OOgPsiILop37aINsoI9oygyTtHGw4vlSjxQqPiyvG8C1vQaxo=&uniplatform=NZKPT	周翰林、吴春、张高伟、王宣朋				
201	期刊	区县尺度下的河流健康状况综合评价研究——以北京市延庆区为例	武亚林	环境科学与管理	2024-11-15	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliUCIESOEdKWgpjG0HaTU9RvnZsfgWizUAWu_HN16_fyaiEyo5JB40b6nitx7EKeATrdRye1Ge5IsW6wp0QNu50YWE9AHWePNnObdKWi7eOvQccn3XX_-mdH1Pdt70QTgPxDfivPvgBdf73gL5g7004_j3TPI3_-jdemr03oDlP5GQ==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehagqu9lI36sAvZaUEwmaMN21e3w_Exg5ZTqkx8ZHaJycNNhoz8tOSixCma7CDw7ngkiHYqAt2bJWK3O6ZWy70hQ4UxfYYswwOw=&uniplatform=NZKPT	武亚林、凌文翠、刘桂中、方瑶瑶、李焕利				
202	期刊	一类新的赤潮藻源——微塑料附生赤潮藻	王康	应用海洋学学报	2024-11-14	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliUI9Sl8lbWHZL5uDIN8tVw6sTXi5bhcN8ZiBaAzBU9L-_A0npzAOWT9bUC5Trt7V4QxQkCaythYsIv60DyMrhtsdUL-aFFMhZIvy9zsSGnBl35AeVMRtPoPe_BBY08-GqK8rMqP1d8KHJzUclVrd76XEi7cWdxKLwibGuJBIzMigA==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehbwjNjHomGvekSQ6P6DIRJOggYjzZiqCF36K5iOL46SFTCkeZspIQ8QJivdtQ2_2ev5v28qCI8h8Hb8rrF9y3ZBIAw_4RoXhIM=&uniplatform=NZKPT	王康、彭聪慧、林辉、陈宝红、高亚辉				
203	期刊	2022年夏季厦门西南部海域网采浮游植物群落特征与环境因子分析	骆巧琦	应用海洋学学报	2024-11-13	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliXmc9dJlhWtuHVPq6eZMAYoLVWwm4or2h9IG8srUoWppDFrGXnKQtLGqa-3Exi1Vgs3p9_NR9Y1KO_pOJhavY6Aw8sH42jVJRo8Pr8DMBnDpJI8nyXqf4HpCYaTXPskfo1KiBuksc5vo5GL7ETlIOkmFBS7kTkQRfb8JhfL8xtcSQ==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehbwjNjHomGvekSQ6P6DIRJOggYjzZiqCF36K5iOL46SFTCkeZspIQ8QJivdtQ2_2ev5v28qCI8h8Hb8rrF9y3ZBIAw_4RoXhIM=&uniplatform=NZKPT	骆巧琦、陈岚、张跃平、周治东、李海平、周茜茜				
204	期刊	洱海藻类时空变化及生长条件分析	李星澄	现代农业研究	2024-11-12	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliXmc9dJlhWtuHVPq6eZMAYoLVWwm4or2h90dkXEqut-v7T1XMMm_5ae62aL04fxtDaTQ5wYVtv_mJZCLClr2rZ7I_ihHNZeNuHjSJIw_B84zugWVadb3pTY1i_cW1BnF2ezFo48z35psgGLFiPeq8gSFPKPXY33spfew5NP7G7bfA==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehYPrANxW-jvBvCVT2KqWxdKN3jMDFL-dF1ngwOJnHZ1Kq7vJ232MhSyl53a_qje_fyDROLuV5iX5xeZjuYfVMqTiGmtQAsDTfA=&uniplatform=NZKPT	李星澄、刘光宇、刘峰、宗兆星、李冬梅				
205	期刊	平潭海峡公铁两用大桥周边海域海洋生态环境质量与群落结构	史晓燕	黑龙江环境通报	2024-11-12	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliXFTHU9-wEMIZDkqwqvj_9Z2ILK1PbSVTDY874Jbhgs8taOySDRxfgZDXKgLcxdosfcklE4q8Ed7l9on5GstO43OOpfjP6OzmB3dx3YOyfAmogIJV6WPsTqH4oNBezYsa05JmRZDbUJnnwCQEAas4Y0WLDzV_PY-nJY_CF51sCF8g==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehZw0MzcBa53ADwG6PYm0FSc5t2KJ91B7o2Skp7DthUaY5SrzbpXQAlJkmQT_g0ArECZSnLeVLvXB8hTSGFTI5IyZ_jqkr0v08E=&uniplatform=NZKPT	史晓燕				
206	期刊	北部湾叶绿素a浓度时空变化及影响因素	刘思萌	广东海洋大学学报	2024-11-11 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliXFTHU9-wEMIZDkqwqvj_9Z2ILK1PbSVTDGn3x5L8gZ922Ts_14bEauTLDJpb4bRmzFw5Hfe0mOQJCmw5pTyoI5_ZX1EJ7oTEc-xl2vLT-QHQXNYtEkBWRCXDgYLO6yxFYnBR-9b_FYxhmGl26ZTuIDidpjWwCxuSQHOAIwYLXynQ==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehZw0MzcBa53ADwG6PYm0FSc5t2KJ91B7o2Skp7DthUaY5SrzbpXQAlJ4CgvxC0XhU2J5fI_Tn_VmotvlEPgLRNqJme0tIK1jGU=&uniplatform=NZKPT	刘思萌、李君益、叶小敏、谢玲玲、曾飞鸿				
207	期刊	兴化湾三倍体牡蛎养殖区浮游植物群落结构特征研究	陈燕婷	科学养鱼	2024-11-10	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliUlzUhm55UgQkh1bsugQXZm3vwp8CsRshCIPU7ysXIbK01LRXU0peo0Ppm_4rkg76PGC2dpTFODpgg1fp-JkJPifMVVvzSUUleCPPKJhlhEJlH163qXbL6G9irHEnovBtbFug6kTt5BJ0fTA3fRzW-F0mVDUYVEoijYhWy8aZz7AQ==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehYLLoiknPzB6UvIrsEGGAGEp6etSyD8MESXEOHPa09b8Utlma2iChcd4peu6cs9dal9CwiQAEW-HtC5nrrRk0pRYwXzSU7kHYg=&uniplatform=NZKPT	陈燕婷				
208	期刊	海南岛南渡江鱼胃肠道中微塑料特征研究	梁鸿博	中国环境科学	2024-11-07 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliWbZ9FXBzKCtA0Peup6K5Kqonpts57OCO__QVs6oJIfOIzgQlgnKvNul6C8-Vu8cRPlRW5DznQ-4Qu4wgMxcApCFny_GreIPVZ8JZRuTKO_MtQmvle8lkt317UNJyqAqknXdKZx0hPK4SIGU07cag7aq4H5nslT4_Hbzu2U0r9YWA==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjeha2cqWxI2-z6WrOD9om6a0DIpMKlmKXJs7Td0RJ-TUp49gQASYqMQPBdVUTaI9Ox5MPyYXMg9DeO24XY0n0g6hMJd4q6_Cg_K0=&uniplatform=NZKPT	梁鸿博、姜如易、刘子扬、许康、王赛、王团团				
209	期刊	海南岛热带典型天然牡蛎礁生态系统营养结构与功能评价	肖玉林	生态学报	2024-11-06 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliWbZ9FXBzKCtA0Peup6K5Kq7HXjF2u-dGQm15-FJzqwzpTLBuEFubqPq9I9TTgofmyPvttVVbt_DBsfK-GwFuMa2XMPaSsDBd4NoNwTmJ0J__Gl_p8feD0q9x_tldl6P9_3AtU6Qy9zIqWQr73pC977cWielo6lLW6FJBK7xvtuPw==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjeha2cqWxI2-z6WrOD9om6a0DanrbUIUy_5b53J4ueSjjqVcedMRKUrPuMJwQNO3WQQ3XWstLLe7FFCcuuaba7pfIZRruH7XThiQ=&uniplatform=NZKPT	肖玉林、施凯、许强				
210	期刊	小浪底水库早春溶解性有机质光谱特征对浮游植物群落变化的响应	武俐	生态学报	2024-11-06 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliVsGIpoy358GibEvLJGCqoLya5wokH_s5tB3L8obEWzL7meIlm6d8Df-ehRB0FCAoN4xcLfxiuYLkg4nbxQdRoR9Ap43ISmJ-t1KDjs6H33yFTzogXTSinAKMkQvRRgl0Rv1rIIeQ8LC_3UdpdafHDmGIZlZGNAkRh99gMyOQh1zA==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehYZ_Ky1nvEJH9FdB0sg9L98mXGUfS3kjqWigI-M7jl6CrLFOhM1k2iVycDvW7UURM-3km7XpBupbYSqjh7l_HmAJ42tgDxkEGs=&uniplatform=NZKPT	武俐、来梦媛、杨萌、付纪薇、赵同谦、王亮				
211	期刊	多闸坝河段浮游植物功能群变化对洪水过境生境恢复的指示作用	于菲	环境科学学报	2024-11-05 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliVsGIpoy358GibEvLJGCqoLya5wokH_s5v5KbOwz701qeb1P3JcZ8x200iU1U7_xKKCU8VeEIolTt5bEawalZqSoycv6LMVZPEYEd33H0GxaQCTaGCLTF1pohUbGKpPIMm3HMfGLoybe-6uKJRCXWA6pG0bXgtiP8c2TsdW0aq5Rw==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehYZ_Ky1nvEJH9FdB0sg9L98mXGUfS3kjqWigI-M7jl6CrLFOhM1k2iV8n7u7M43RG_u1-jNV_0sXmE57tcQA-zGn_O0Q-4y7hU=&uniplatform=NZKPT	于菲、毛宇鹏、黄志伟、曾海龙、房怀阳、林澍、付玲芳				
212	期刊	生态补水背景下永定河浮游生物群落结构及其影响因素研究	孙庆怡	环境科学学报	2024-11-05 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliUBqTwBPEeeT2oclulVrzfizQo9lOrURyddoDt1D-EhRTLDWfsx-NPLK3u0-i7tjv53iLZ8jzzamzxkievtnT0hbgj5NIpJxroJ3DKlmVlANE082m6fWe35AfY-q-vb34j2SyOX-qOpxhQt1b7uLGQSXM_al7n9IYissDFnmNa5qg==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehbLw5bM64WanfPJgtk6WJj7qHeHfzkqKBMoe0EVBL6rgTdPq0CY7Q8tSa-MyGzgFactbxCyuJjqWkvcer1DPL7ZPBTSKP7nuOI=&uniplatform=NZKPT	孙庆怡、曹天正、彭文启、刘晓波、骆辉煌、侯远航				
213	期刊	鸭绿江口海域浮游植物粒级结构的环境差异响应	宋广军	环境科学研究	2024-11-05 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliU5UQM1mL3-QqyS6zY00U_B9ZDOWxmBZlnJWq_8gtXA-f1CdFO85xIjFcPXfzP6-_tkIDQkVpHfwJrvxd-1oRbxVh_ipz0Vhsz3z_oalPNZKe75xsIMSxtklbFyQCJcOK2QrQT5q6wbSQK6Ju1Aum3JYZIVF8jxyOZ4zrgp0OctZQ==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehbbcQ8FvEh7mdSvDu0VewSjpUCy9GOAEMF0UHame2ogdQpQpEiczDkXbRVkqzm4E7-1-dHagq1-6tUGwz4f7KFhK2rSWc60gbI=&uniplatform=NZKPT	宋广军、宋伦、吴金浩、王召会、胡超魁、刘桂英				
214	期刊	三峡库区重庆段水生态环境分析及对策建议	李鑫	水利发展研究	2024-11-04 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliU5UQM1mL3-QqyS6zY00U_Be9FhuNNwO-OPWtF5X4fDCIBSyUe3aEOphMGjPeS0jeEMzOZOMbbD_yQdvhPQZNBMznuEPS5_jy1S3-TNLhhfcjJqWUG8QTmhVPjewACD5m2HkcRqQAjoP2RA4T-ZQvBQmhzXe2P9U5QMXt998p50xA==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehbbcQ8FvEh7mdSvDu0VewSjrAwBESksPftRhArtd3ZO3L3rOkeu8pD-S-al-wcx7Md6uKxN0UNOKoOPrIdJypA6WkQrrggMn3w=&uniplatform=NZKPT	李鑫、岳松涛、朱林、李保菊				
215	期刊	青藏高原湖泊浮游植物群落结构特征与驱动因素	孟洋洋	湖泊科学	2024-11-01 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliXJppI3wnR2bjZbx1vH3G4-UBBJelvz1nk90058jxBl7RaBo426Yt_BTTmun5t4IrTsFYyc9MwEP8ZBzBoNLK5LqbVyqSTXxULwdfM2rUsJzmeytxt4MXEfk4KCAC6TkneTOmid4Kuupuylt4J1LUB1GH39ZZuo4Muv-sHEwVNB3g==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehZj9LwwQVx7l1-JO4h4-7-DoEZbcKi-SHijhYpmU178PggmbIWmc7xUJLjVQOVdfGIx-MmL0wteXX2nHgSjT7q_AZAWNA3R4Ps=&uniplatform=NZKPT	孟洋洋、王丽雅、朱睿、周永强、施坤、张恩楼、张民				
